TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x;Starttime
1988;2024-03-08 04:56:04;199170378.05;2;2;5;2;1174;2024-03-10;2;2024-03-08 04:56:04
1994;2024-03-08 05:08:52;58412825.53;5;5;2;5;751;2024-03-10;2;2024-03-08 05:08:52
2028;2024-03-08 07:03:46;233890995.53;1;5;4;5;1337;2024-03-10;2;2024-03-08 07:03:46
2053;2024-03-08 08:29:12;53114869.97;3;6;1;6;781;2024-03-10;2;2024-03-08 08:29:12
2084;2024-03-08 10:30:03;105860141.14;1;7;2;7;1245;2024-03-10;2;2024-03-08 10:30:03
2196;2024-03-08 16:55:01;19774304.19;3;6;2;6;1419;2024-03-10;2;2024-03-08 16:55:01
2202;2024-03-08 17:26:13;104794649.34;1;7;8;7;345;2024-03-10;2;2024-03-08 17:26:13
2291;2024-03-09 03:45:43;175407707.07;7;5;3;5;1071;2024-03-11;2;2024-03-09 03:45:43
2325;2024-03-09 05:25:33;158514250.45;8;3;3;3;1014;2024-03-11;2;2024-03-09 05:25:33
2445;2024-03-09 11:49:52;216033202.9;8;5;6;5;682;2024-03-11;2;2024-03-09 11:49:52
2469;2024-03-09 12:47:47;37515200.66;1;1;8;1;718;2024-03-10;1;2024-03-09 12:47:47
2508;2024-03-09 15:24:14;182551099.83;2;5;1;5;376;2024-03-11;2;2024-03-09 15:24:14
2538;2024-03-09 17:09:13;118963689.63;2;4;8;4;458;2024-03-10;1;2024-03-09 17:09:13
2550;2024-03-09 17:39:03;209376778.64;8;5;3;5;430;2024-03-11;2;2024-03-09 17:39:03
2558;2024-03-09 17:50:54;173125927.75;1;3;6;3;1095;2024-03-10;1;2024-03-09 17:50:54
2581;2024-03-09 19:12:35;215794191.34;5;7;1;7;392;2024-03-11;2;2024-03-09 19:12:35
2606;2024-03-09 23:15:07;82817295.34;5;6;7;6;735;2024-03-11;2;2024-03-09 23:15:07
