Starttime;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
2024-03-04 02:05:06;475;2024-03-04 01:25:17;145778101.23;21;0;20;0;915;2024-03-04
2024-03-04 02:05:06;545;2024-03-04 02:05:02;145778101.23;20;4;21;4;915;2024-03-04
2024-03-04 03:50:59;745;2024-03-04 03:46:35;122114007.04;19;0;14;0;3874;2024-03-04
2024-03-04 03:50:59;754;2024-03-04 03:50:55;122114007.04;14;7;19;7;3874;2024-03-04
2024-03-04 08:44:14;239;2024-03-04 00:43:37;158773115.88;15;0;20;0;281;2024-03-04
2024-03-04 08:44:14;1324;2024-03-04 08:44:10;158773115.88;20;4;15;4;281;2024-03-04
2024-03-04 12:42:52;731;2024-03-04 03:40:20;51902686.19;11;0;20;0;5033;2024-03-04
2024-03-04 12:42:52;1741;2024-03-04 12:42:48;51902686.19;20;4;11;4;5033;2024-03-04
2024-03-04 15:02:02;886;2024-03-04 05:01:27;41303028.01;14;7;27;7;4760;2024-03-04
2024-03-04 15:02:02;1968;2024-03-04 15:01:58;41303028.01;27;0;14;0;4760;2024-03-04
2024-03-05 01:30:00;2024;2024-03-04 15:36:59;80242539.13;3;0;6;0;3297;2024-03-04
2024-03-05 01:30:00;2709;2024-03-04 21:34:07;80242539.13;6;6;3;6;3297;2024-03-04
2024-03-05 01:30:00;619;2024-03-04 02:41:21;125097818.15;30;1;16;1;1349;2024-03-05
2024-03-05 01:30:00;2781;2024-03-04 22:07:40;125097818.15;16;0;30;0;1349;2024-03-05
2024-03-05 01:30:00;1160;2024-03-04 07:22:57;422173547.34;12;2;27;2;1512;2024-03-04
2024-03-05 01:30:00;2860;2024-03-04 22:56:09;422173547.34;27;0;12;0;1512;2024-03-04
2024-03-05 01:30:00;1083;2024-03-04 06:43:05;95026893.39;5;0;30;0;2449;2024-03-04
2024-03-05 01:30:00;3128;2024-03-05 00:25:05;95026893.39;30;1;5;1;2449;2024-03-04
2024-03-05 02:32:21;548;2024-03-04 02:05:35;84899741.58;23;0;30;0;2085;2024-03-05
2024-03-05 02:32:21;3620;2024-03-05 02:32:17;84899741.58;30;1;23;1;2085;2024-03-05
2024-03-05 03:41:39;3538;2024-03-05 01:52:18;61100586.3;5;1;12;1;603;2024-03-05
2024-03-05 03:41:39;3748;2024-03-05 03:41:35;61100586.3;12;0;5;0;603;2024-03-05
2024-03-05 06:40:58;1966;2024-03-04 15:01:48;203354914.88;27;0;5;0;4695;2024-03-04
2024-03-05 06:40:58;4073;2024-03-05 06:40:54;203354914.88;5;1;27;1;4695;2024-03-04
